Profile 1             
x       y           
[m]     [m]         
0  1.3120162e-08            
1e-08  1.2189127e-08            
2e-08  8.7668e-09            
3e-08  2.8285833e-09            
4e-08  6.3167789e-08            
5e-08  1.3880697e-07            
6e-08  1.4159059e-07            
7e-08  1.3938724e-07            
8e-08  1.480524e-07            
9e-08  1.4910731e-07            
1e-07  1.45447e-07            
1.1e-07  1.4479241e-07            
1.2e-07  1.4201808e-07            
1.3e-07  1.3758126e-07            
1.4e-07  1.3032427e-07            
1.5e-07  8.9209969e-08            
1.6e-07  7.5928426e-08            
1.7e-07  4.3371882e-08            
1.8e-07  5.7221336e-09            
1.9e-07  1.3499346e-08            
