Profile 1             
x       y           
[m]     [m]         
0  1.1456886e-08            
1e-08  1.1769419e-08            
2e-08  7.5671036e-09            
3e-08  8.564971e-09            
4e-08  7.809959e-09            
5e-08  9.9287845e-08            
6e-08  1.2685828e-07            
7e-08  1.3400698e-07            
8e-08  1.4339203e-07            
9e-08  1.4709457e-07            
1e-07  1.4925517e-07            
1.1e-07  1.5221929e-07            
1.2e-07  1.514536e-07            
1.3e-07  1.5046429e-07            
1.4e-07  1.4727084e-07            
1.5e-07  1.4446839e-07            
1.6e-07  1.3852246e-07            
1.7e-07  1.3390766e-07            
1.8e-07  1.2503278e-07            
1.9e-07  1.0385686e-07            
2e-07  6.1877212e-08            
2.1e-07  1.2606745e-08            
2.2e-07  1.2213244e-08            
2.3e-07  1.1453485e-08            
2.4e-07  1.1082815e-08            
2.5e-07  1.0302232e-08            
